EqualWeight(1/N),BuyAndHold,Random-topk,Momentum-topk
1.0618146813420628,1.0744371730259155,1.1244993978813749,0.9517180653238726
1.059404727846591,1.0726630030179862,1.1242074462912548,0.9497867879797903
1.070259292264322,1.082836219692526,1.1417532998788622,0.9777033461131944
1.0738279905269468,1.0875153152903971,1.145250665467576,0.9993392996480966
1.0814452982579426,1.0941731822675265,1.1552928863925604,1.0003300863772804
1.0799041894562902,1.0946457191674468,1.1611328134746313,0.9876498904275128
1.0777020974380105,1.0928811300972525,1.160436067653541,0.9815791947081236
1.0881159225224544,1.1041736935813924,1.1708207132070396,0.9914623257952527
1.0849126229281474,1.095779693816269,1.1666051971498408,0.9763233384258564
1.0944634277557765,1.1051884667233058,1.1736466624411233,0.9728195107364604
1.09689027274507,1.1073373353143856,1.1708835066188958,0.9812319924405216
1.1091814429758562,1.1175049401951895,1.183701442349415,0.9934863066932317
1.0897122251411338,1.092036365000237,1.1756399679092306,0.9837222276423704
1.07862490770258,1.082332457194891,1.1566283381849682,0.9811501651727059
1.0696963328127782,1.0726876233519327,1.144670114763403,0.9642165677016816
1.0845447245879465,1.0892939223763873,1.1664785219899463,0.9636552457067582
1.0751918497526003,1.0791161561482598,1.137877952092551,0.935972534503939
1.0533486295383871,1.0546287631722435,1.1032790478846195,0.9162179094680827
1.0469306841843116,1.0475092140103583,1.086918820355621,0.9235294702411255
1.0553773764858987,1.0564357308446475,1.102746777753243,0.9317096994346359
1.060251399908884,1.0600450451862835,1.1054124543572856,0.9481295768267384
1.056204611919706,1.0536187034338578,1.0933491381994784,0.9462992370421317
1.0752451863888037,1.0757721227628294,1.1203783663717721,0.9438785084879243
1.0517463232712567,1.0506065734883407,1.1100962020034382,0.8692453650024138
1.0241901462441558,1.0244242681505393,1.0818560576503213,0.8753370715716734
1.0002729785412316,1.000380969630616,1.067386111867626,0.8601533929444725
1.0084355225178232,1.0091018652966206,1.0673631933352012,0.8667173077124575
1.0022348262151823,1.0026706825404421,1.0724531807451088,0.8448308626017219
1.0286401248896404,1.0299312326683934,1.0758249962234658,0.8437681694043392
1.0297150925413046,1.0318889074323265,1.0774616908097339,0.8359839556655578
1.0253534690999344,1.029306120393194,1.0682040805088455,0.8357875438757348
1.0459689976119966,1.049786067773322,1.0893578877355867,0.881243181194486
1.0454716323396802,1.0504705839081792,1.0954556822832675,0.8734821859575261
1.0712352406314178,1.0754826241569113,1.113151680082941,0.8978397518478664
1.0749732707646078,1.0782838959087981,1.1336140653183633,0.9039432866164794
1.087904756562104,1.0914692195095945,1.150783783248218,0.9194735706212276
1.084903475005424,1.0882740271529237,1.142469783765428,0.9043269241291444
1.0918037222929446,1.0952018139263213,1.1472446788198234,0.9028942761910462
1.0758348362420542,1.0794060327888835,1.1275517563616042,0.883293382405366
1.089426751003555,1.092272677300879,1.1593578860814082,0.8884813669270001
1.083774962874973,1.0856479788295965,1.1617585776933066,0.8760587050073924
1.0862260767702834,1.0896416180169308,1.1646885875955328,0.8823322444505254
1.0761590581483271,1.0795021722004763,1.1590160776463225,0.8672900673579915
1.0766850891398605,1.0792222410518584,1.1593877596620186,0.8677667173530537
1.0881085888300668,1.0908935877348291,1.1675073683989998,0.8918601408585016
1.060951305560266,1.061659836301957,1.150256876673633,0.8357746974198912
1.0556047387055298,1.0586531508112362,1.1453929525906275,0.8347253204920473
1.050747944197957,1.0527919968211135,1.1534377200515296,0.8366576026602799
1.0310470633704918,1.032232526869267,1.1337140910054555,0.8129105911160671
1.041933360298998,1.0438994091041427,1.1402657101763225,0.8295997003290448
1.0454134367008563,1.0482775183279676,1.1435319678994833,0.8453009006888431
1.0588360885820316,1.0627254421762684,1.1513539448032186,0.8642782365936954
1.06408510026687,1.0683892410334377,1.1563287356517677,0.8666974343932317
